Activity related Diffusion coefficients Al-Fe;;;
;;;
;;;Mittelwert
T/°C;Da(Al);Da(Fe); Da_(Al-Fe)
20;3.73711E-48;1.39999E-39;6.99995E-40
30;1.89039E-46;2.8319E-38;1.41595E-38
40;7.48197E-45;4.7271E-37;2.36355E-37
50;2.36927E-43;6.6287E-36;3.31435E-36
60;6.1217E-42;7.93234E-35;3.96617E-35
70;1.31322E-40;8.21375E-34;4.10688E-34
80;2.37525E-39;7.45069E-33;3.72534E-33
90;3.67259E-38;5.98582E-32;2.99291E-32
100;4.91447E-37;4.30102E-31;2.15051E-31
110;5.7548E-36;2.78836E-30;1.39418E-30
120;5.95608E-35;1.64389E-29;8.2195E-30
130;5.49767E-34;8.87626E-29;4.43816E-29
140;4.56273E-33;4.41776E-28;2.2089E-28
150;3.43015E-32;2.03851E-27;1.01927E-27
160;2.35162E-31;8.76706E-27;4.38365E-27
170;1.47929E-30;3.5311E-26;1.76563E-26
180;8.58637E-30;1.33778E-25;6.68932E-26
190;4.62236E-29;4.78646E-25;2.39346E-25
200;2.31879E-28;1.62328E-24;8.11757E-25
210;1.08864E-27;5.23582E-24;2.61846E-24
220;4.80239E-27;1.61113E-23;8.05805E-24
230;1.99792E-26;4.74318E-23;2.37259E-23
240;7.86538E-26;1.3395E-22;6.70142E-23
250;2.93928E-25;3.63751E-22;1.82022E-22
260;1.04569E-24;9.51985E-22;4.76515E-22
270;3.55122E-24;2.40617E-21;1.20486E-21
280;1.15411E-23;5.88475E-21;2.94815E-21
290;3.5977E-23;1.39514E-20;6.99368E-21
300;1.07807E-22;3.21157E-20;1.61118E-20
310;3.11165E-22;7.18956E-20;3.61034E-20
320;8.66713E-22;1.56748E-19;7.88071E-20
330;2.3338E-21;3.33272E-19;1.67803E-19
340;6.08514E-21;6.91901E-19;3.48993E-19
350;1.53874E-20;1.40426E-18;7.09824E-19
360;3.77898E-20;2.78925E-18;1.41352E-18
370;9.02586E-20;5.42767E-18;2.75896E-18
380;2.09922E-19;1.03572E-17;5.28356E-18
390;4.75998E-19;1.93985E-17;9.93727E-18
400;1.05346E-18;3.56913E-17;1.83724E-17
410;2.278E-18;6.45608E-17;3.34194E-17
420;4.81783E-18;1.14898E-16;5.98581E-17
430;9.97515E-18;2.01328E-16;1.05651E-16
440;2.02369E-17;3.47557E-16;1.83897E-16
450;4.02615E-17;5.91496E-16;3.15879E-16
460;7.86148E-17;9.92972E-16;5.35793E-16
470;1.50769E-16;1.64521E-15;8.97992E-16
480;2.84202E-16;2.69176E-15;1.48798E-15
490;5.26915E-16;4.35102E-15;2.43897E-15
500;9.61458E-16;6.95171E-15;3.95659E-15
510;1.72768E-15;1.09832E-14;6.35544E-15
520;3.05905E-15;1.71666E-14;1.01128E-14
530;5.34002E-15;2.65541E-14;1.59471E-14
540;9.19513E-15;4.06659E-14;2.49305E-14
550;1.5626E-14;6.16791E-14;3.86525E-14
560;2.6219E-14;9.2683E-14;5.9451E-14
570;4.34572E-14;1.38024E-13;9.07408E-14
580;7.11821E-14;2.03769E-13;1.37476E-13
590;1.15271E-13;2.98314E-13;2.06792E-13
600;1.84621E-13;4.33192E-13;3.08907E-13
610;2.9256E-13;6.2413E-13;4.58345E-13
620;4.58858E-13;8.92414E-13;6.75636E-13
630;7.12554E-13;1.26665E-12;9.89604E-13
640;1.09591E-12;1.78505E-12;1.44048E-12
650;1.66989E-12;2.49826E-12;2.08407E-12
660;2.52165E-12;3.47304E-12;2.99735E-12
670;3.77477E-12;4.79686E-12;4.28581E-12
680;5.60303E-12;6.58355E-12;6.09329E-12
690;8.24893E-12;8.9805E-12;8.61471E-12
700;1.20482E-11;1.21774E-11;1.21128E-11
710;1.74625E-11;1.64171E-11;1.69398E-11
720;2.51215E-11;2.20087E-11;2.35651E-11
730;3.58788E-11;2.93441E-11;3.26115E-11
740;5.08837E-11;3.89168E-11;4.49003E-11
750;7.16731E-11;5.13462E-11;6.15097E-11
760;1.0029E-10;6.74055E-11;8.38475E-11
770;1.39431E-10;8.80552E-11;1.13743E-10
780;1.92641E-10;1.14484E-10;1.53563E-10
790;2.64545E-10;1.48155E-10;2.0635E-10
800;3.61148E-10;1.90865E-10;2.76007E-10
810;4.90203E-10;2.44806E-10;3.67505E-10
820;6.6167E-10;3.12646E-10;4.87158E-10
830;8.88274E-10;3.97619E-10;6.42946E-10
840;1.18619E-09;5.03626E-10;8.4491E-10
850;1.5759E-09;6.35361E-10;1.10563E-09
860;2.08318E-09;7.98451E-10;1.44082E-09
870;2.74035E-09;9.9961E-10;1.86998E-09
880;3.58774E-09;1.24683E-09;2.41729E-09
890;4.67547E-09;1.5496E-09;3.11253E-09
900;6.06554E-09;1.91912E-09;3.99233E-09
910;7.83438E-09;2.3686E-09;5.10149E-09
920;1.00758E-08;2.91356E-09;6.49466E-09
930;1.29044E-08;3.57216E-09;8.23826E-09
940;1.64598E-08;4.36564E-09;1.04127E-08
950;2.09115E-08;5.31869E-09;1.31151E-08
960;2.64642E-08;6.46001E-09;1.64621E-08
970;3.33649E-08;7.82283E-09;2.05939E-08
980;4.19098E-08;9.44551E-09;2.56777E-08
990;5.24535E-08;1.13722E-08;3.19129E-08
1000;6.54189E-08;1.36538E-08;3.95363E-08
1010;8.13087E-08;1.63483E-08;4.88285E-08
1020;1.00719E-07;1.95223E-08;6.01206E-08
1030;1.24354E-07;2.32517E-08;7.38028E-08
1040;1.53043E-07;2.76228E-08;9.03329E-08
1050;1.87761E-07;3.27334E-08;1.10247E-07
1060;2.2965E-07;3.86947E-08;1.34172E-07
1070;2.80044E-07;4.56319E-08;1.62838E-07
1080;3.40496E-07;5.36867E-08;1.97092E-07
1090;4.12814E-07;6.3018E-08;2.37916E-07
1100;4.99089E-07;7.38049E-08;2.86447E-07
